I33,0.047,40,M,
I33,1.043,40,M,
I33,0.844,40,M,
I33,0.887,40,M,
I33,1.016,40,M,
I33,1.183,40,M,
I33,1.265,40,M,
I33,1.230,40,M,
I33,1.245,40,M,
I33,1.179,40,M,
I33,1.070,40,M,
I33,0.623,40,M,
I33,1.265,40,M,
I33,1.000,40,M,
I33,0.549,40,M,
I33,1.202,40,M,
I33,1.019,40,M,
I33,0.556,40,M,
I33,1.276,40,M,
I33,0.685,40,M,
I33,1.490,40,M,
I33,0.576,40,M,
I33,1.377,40,M,
I33,0.580,40,M,
I33,1.370,40,M,
I33,0.607,40,M,
I33,1.370,40,M,
I33,0.677,40,M,
I33,1.619,40,M,
I33,1.669,40,M,
I33,1.525,40,M,
I33,1.339,40,M,
I33,1.210,40,M,
I33,0.549,40,M,
I33,1.245,40,M,
I33,1.008,40,M,
I33,0.568,40,M,
I33,1.163,40,M,
I33,0.957,40,M,
I33,0.545,40,M,
I33,1.187,40,M,
I33,1.035,40,M,
I33,0.556,40,M,
I33,1.284,40,M,
I33,0.654,40,M,
I33,1.370,40,M,
I33,0.630,40,M,
I33,1.374,40,M,
I33,0.658,40,M,
I33,1.463,40,M,
I33,0.568,40,M,
I33,1.339,40,M,
I33,0.638,40,M,
I33,1.416,40,M,
I33,0.588,40,M,
I33,1.346,40,M,
I33,1.296,40,M,
I33,1.179,40,M,
I33,1.222,40,M,
I33,0.556,40,M,
I33,1.261,40,M,
I33,1.125,40,M,
I33,0.556,40,M,
I33,1.198,40,M,
I33,1.012,40,M,
I33,0.568,40,M,
I33,1.226,40,M,
I33,1.058,40,M,
I33,0.560,40,M,
I33,1.226,40,M,
I33,1.039,40,M,
I33,0.556,40,M,
I33,1.171,40,M,
I33,0.996,40,M,
I33,0.576,40,M,
I33,1.241,40,M,
I33,0.669,40,M,
I33,1.428,40,M,
I33,0.576,40,M,
I33,1.354,40,M,
I33,0.619,40,M,
I33,1.339,40,M,
I33,0.739,40,M,
I33,1.467,40,M,
I33,0.568,40,M,
I33,1.257,40,M,
I33,1.047,40,M,
I33,0.553,40,M,
I33,1.233,40,M,
I33,1.043,40,M,
I33,0.580,40,M,
I33,1.249,40,M,
I33,1.144,40,M,
I33,0.564,40,M,
I33,1.253,40,M,
I33,1.171,40,M,
I33,0.553,40,M,
I33,1.265,40,M,
I33,0.728,40,M,
I33,1.323,40,M,
I33,1.058,40,M,
I33,0.564,40,M,
I33,1.237,40,M,
I33,1.210,40,M,
I33,0.556,40,M,
I33,1.237,40,M,
I33,1.160,40,M,
I33,1.148,40,M,
I33,1.035,40,M,
I33,1.070,40,M,
I33,1.070,40,M,
I33,1.066,40,M,
I33,1.047,40,M,
I33,0.556,40,M,
I33,1.214,40,M,
I33,0.977,40,M,
I33,0.560,40,M,
I33,1.171,40,M,
I33,0.938,40,M,
I33,0.564,40,M,
I33,1.241,40,M,
I33,1.089,40,M,
I33,0.568,40,M,
I33,1.327,40,M,
I33,0.591,40,M,
I33,1.354,40,M,
I33,0.642,40,M,
I33,1.280,40,M,
I33,0.965,40,M,
I33,0.556,40,M,
I33,1.222,40,M,
I33,0.977,40,M,
I33,0.564,40,M,
I33,1.210,40,M,
I33,1.086,40,M,
I33,0.564,40,M,
I33,1.206,40,M,
I33,1.058,40,M,
I33,0.568,40,M,
I33,1.210,40,M,
I33,1.074,40,M,
I33,0.556,40,M,
I33,1.226,40,M,
I33,1.070,40,M,
I33,0.576,40,M,
I33,1.272,40,M,
I33,0.619,40,M,
I33,1.362,40,M,
I33,0.626,40,M,
I33,1.366,40,M,
I33,0.623,40,M,
I33,1.374,40,M,
I33,0.661,40,M,
I33,1.416,40,M,
I33,0.584,40,M,
I33,1.323,40,M,
I33,1.218,40,M,
I33,0.556,40,M,
I33,1.237,40,M,
I33,1.132,40,M,
I33,0.564,40,M,
I33,1.222,40,M,
I33,1.066,40,M,
I33,0.553,40,M,
I33,1.230,40,M,
I33,1.160,40,M,
I33,0.556,40,M,
I33,1.230,40,M,
I33,1.140,40,M,
I33,0.556,40,M,
I33,1.284,40,M,
I33,0.572,40,M,
I33,1.265,40,M,
